protein1,protein2,y_true,y_prob,y_pred,correct,error_type,cosine_sim
9606.ENSP00000223369,9606.ENSP00000264904,1,0.94847643,1,True,correct,0.6761372089385986
9606.ENSP00000236671,9606.ENSP00000324806,0,0.061380766,0,True,correct,0.2118455469608307
9606.ENSP00000245414,9606.ENSP00000368450,0,0.660901,1,False,false_positive,0.6028892397880554
9606.ENSP00000288368,9606.ENSP00000451828,0,0.2528156,0,True,correct,0.18969309329986572
9606.ENSP00000348645,9606.ENSP00000429089,0,0.43157545,0,True,correct,0.10619302839040756
9606.ENSP00000284818,9606.ENSP00000342374,0,0.616934,1,False,false_positive,0.20348821580410004
9606.ENSP00000339449,9606.ENSP00000377958,1,0.02578351,0,False,false_negative,0.14235086739063263
9606.ENSP00000274606,9606.ENSP00000276603,1,0.14494571,0,False,false_negative,0.18763473629951477
9606.ENSP00000301057,9606.ENSP00000420311,0,0.9637494,1,False,false_positive,0.4186910390853882
9606.ENSP00000318128,9606.ENSP00000447537,1,0.9372644,1,True,correct,0.6034741401672363
9606.ENSP00000401878,9606.ENSP00000442159,0,0.0063809883,0,True,correct,0.12896732985973358
9606.ENSP00000247470,9606.ENSP00000433209,1,0.9966794,1,True,correct,0.6756157875061035
9606.ENSP00000323929,9606.ENSP00000398698,1,0.15706871,0,False,false_negative,0.34146037697792053
9606.ENSP00000293829,9606.ENSP00000355925,0,0.16580287,0,True,correct,0.1762446165084839
9606.ENSP00000370589,9606.ENSP00000414321,1,0.90116394,1,True,correct,0.4962843060493469
9606.ENSP00000337733,9606.ENSP00000481309,1,0.53249186,1,True,correct,0.584455132484436
9606.ENSP00000351614,9606.ENSP00000482753,0,0.3625897,0,True,correct,0.27988889813423157
9606.ENSP00000261769,9606.ENSP00000263735,1,0.99816245,1,True,correct,0.6057880520820618
9606.ENSP00000416269,9606.ENSP00000451291,1,0.9902232,1,True,correct,0.7015824913978577
9606.ENSP00000336702,9606.ENSP00000375730,1,0.9999796,1,True,correct,0.5797984004020691
9606.ENSP00000339795,9606.ENSP00000418082,1,0.99999964,1,True,correct,0.8033542037010193
9606.ENSP00000262186,9606.ENSP00000281830,1,0.9976649,1,True,correct,0.6490752696990967
9606.ENSP00000378118,9606.ENSP00000455897,0,0.048481528,0,True,correct,0.5551407933235168
9606.ENSP00000336724,9606.ENSP00000360727,0,0.73350185,1,False,false_positive,0.3842790424823761
9606.ENSP00000339883,9606.ENSP00000350256,0,0.06456718,0,True,correct,0.04914627596735954
9606.ENSP00000300413,9606.ENSP00000369075,0,0.0058419597,0,True,correct,0.12037502229213715
9606.ENSP00000393559,9606.ENSP00000416338,1,0.46695617,0,False,false_negative,0.4802927076816559
9606.ENSP00000262584,9606.ENSP00000322439,1,0.99869126,1,True,correct,0.41058582067489624
9606.ENSP00000362018,9606.ENSP00000462355,1,0.07873757,0,False,false_negative,0.17519883811473846
9606.ENSP00000408295,9606.ENSP00000426191,1,0.9988102,1,True,correct,0.7461044192314148
9606.ENSP00000280154,9606.ENSP00000358532,0,0.16152291,0,True,correct,0.16186419129371643
9606.ENSP00000304895,9606.ENSP00000339835,0,0.015453914,0,True,correct,0.21042698621749878
9606.ENSP00000216037,9606.ENSP00000278572,1,0.0042952076,0,False,false_negative,0.10506484657526016
9606.ENSP00000349142,9606.ENSP00000421076,1,0.88376796,1,True,correct,0.6034584045410156
